"registry_entry_key","registry_pharmacy_name","registry_district","registry_area","directory_pharmacy_name","directory_area","e164","source_url","source_reference","name_score","match_confidence","runner_up_confidence","district_match","sector_match","review_reason"
"","ALLIANCE PHARMACY Ltd","KICUKIRO","NYARUGUNGA KAMASHASHI","ALLIANCE PHARMACY","Nyarugenge - Muhima","250784237492","https://www.mmi.gov.rw/partners/pharmacies","MMI pharmacy partner directory page 1","1.000","0.820","0.180","false","false","ambiguous_or_unmatched"
"","PHARMACIE DE BUTARE LTD","HUYE","NGOMA BUTARE","ASTRIDA PHARMACY","Huye - Ngoma","250783434465","https://www.mmi.gov.rw/partners/pharmacies","MMI pharmacy partner directory page 1","0.000","0.180","0.180","true","true","ambiguous_or_unmatched"
"","BELLE VIE PHARMACY","NYARUGENGE","MUHIMA UBUMWE","BELLE VIE PHARMACY LTD","Nyarugenge - Muhima","250788890078","https://www.mmi.gov.rw/partners/pharmacies","MMI pharmacy partner directory page 1","1.000","1.000","0.940","true","true","ambiguous_or_unmatched"
"","PRECIOUS PHARMACY LTD","GASABO","KIMIRONKO BIBARE","CITI PHARM LTD","Gasabo - Kimironko","250788319946","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&cHash=cb3ba28d85d6688fc9af769dc2d131cf","MMI pharmacy partner directory page 2","0.000","0.180","0.180","true","true","ambiguous_or_unmatched"
"","NEIGE PHARMACY Ltd","GASABO","JABANA AKAMATAMU","DAVYS PHRMACY LTD","Gasabo - Jabana","250784029895","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&cHash=cb3ba28d85d6688fc9af769dc2d131cf","MMI pharmacy partner directory page 2","0.000","0.180","0.180","true","true","ambiguous_or_unmatched"
"","EL DORADO PHARMACY Ltd","KICUKIRO","NYARUGUNGA NKOKO","EL DORADO PHARMACY LTD","Nyarugenge - Nyakabanda","250783615532","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&cHash=cb3ba28d85d6688fc9af769dc2d131cf","MMI pharmacy partner directory page 2","1.000","0.820","0.700","false","false","ambiguous_or_unmatched"
"","FADHIL PHARMACY LTD","NYARUGENGE","RWEZAMENYO RWEZAMENYO","FADHIL PHARAMACY LTD","Nyarugenge - Rwezamenyo","250788694901","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=3&cHash=da7283f6cd729a97e89c591c94e310fc","MMI pharmacy partner directory page 3","0.667","0.700","0.180","true","true","ambiguous_or_unmatched"
"","BETTER SOON PHARMACY Ltd","NYARUGENGE","MAGERAGERE MATABA","FEEL BETTER PHARMACY","Ngoma - Kibungo","250789449130","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=3&cHash=da7283f6cd729a97e89c591c94e310fc","MMI pharmacy partner directory page 3","0.500","0.390","0.180","false","false","ambiguous_or_unmatched"
"","ISHYAKA PHARMACY Ltd","KICUKIRO","GIKONDO KINUNGA","HERIT PHARMACY LTD","Kicukiro - Gikondo","250787070327","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=4&cHash=af819f30de0cd834b0262e1cb00c9c11","MMI pharmacy partner directory page 4","0.000","0.180","0.180","true","true","ambiguous_or_unmatched"
"","PHARMACIE DE BUTARE LTD","HUYE","NGOMA BUTARE","HOHO PHARMACY LTD","Huye - Ngoma","250786757458","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=4&cHash=af819f30de0cd834b0262e1cb00c9c11","MMI pharmacy partner directory page 4","0.000","0.180","0.180","true","true","ambiguous_or_unmatched"
