december_source_serial,december_name,december_district,december_sector,december_cell,current_registry_entry_key,current_source_serial,current_name,current_district,current_sector_cell_raw,registry_match_score,registry_match_margin,name_score,district_match,sector_match,cell_match,professional_registration_match,phone_number,phone_source,phone_evidence_url,phone_evidence_reference,google_maps_url,maps_url_source,browser_match_status
1,PRECIOUS PHARMACY LTD,GASABO,KIMIRONKO,BIBARE,retail-2026-05-1,1,PRECIOUS PHARMACY LTD,GASABO,KIMIRONKO BIBARE,1.000,0.358,1.000,true,true,true,true,+250787206998,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,matched+public_phone
2,STREAM PHARMACY LTD,GASABO,KINYINYA,KAGUGU,retail-2026-05-2,2,STREAM PHARMACY LTD,GASABO,KINYINYA KAGUGU,0.980,0.000,1.000,true,true,true,false,+250782504529,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,matched+public_phone
3,AURORE PHARMACY LTD,GASABO,KINYINYA,KAGUGU,retail-2026-05-3,3,AURORE PHARMACY LTD,GASABO,KINYINYA KAGUGU,1.000,0.445,1.000,true,true,true,true,+250788423286,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,matched+public_phone
4,VAN PHARMACY LTD,KAYONZA,MUKARANGE,NYAGATOVU,retail-2026-05-5,5,VAN PHARMACY LTD,KAYONZA,MUKARANGE NYAGATOVU,1.000,0.293,1.000,true,true,true,true,+250788853031,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kayonza_District_JULY-AUGUST-SEPTEMBER_2026.pdf,kayonza July-September 2026 duty roster,,,unmatched+public_phone
5,PHARMACIE DE BUTARE LTD,HUYE,NGOMA,BUTARE,retail-2026-05-7,7,PHARMACIE DE BUTARE LTD,HUYE,NGOMA BUTARE,1.000,0.442,1.000,true,true,true,true,+250782119622,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Huye_District_JULY-AUGUST-SEPTEMBER_2026.pdf,huye July-September 2026 duty roster,https://www.google.com/maps/place/Pharmacie+de+Butare+%28Huye%29/data=!4m7!3m6!1s0x19c30d6490c042a7:0x4cf6326586112ff7!8m2!3d-2.6009887!4d29.7416809!16s%2Fg%2F11xvz9777g!19sChIJp0LAkGQNwxkR9y8RhmUy9kw,google_maps_browser,matched+public_phone
6,ABATESI PHARMACY LTD,GATSIBO,RWIMBOGO,RWIKINIRO,retail-2026-05-8,8,ABATESI PHARMACY LTD,GATSIBO,RWIMBOGO RWIKINIRO,1.000,0.525,1.000,true,true,true,true,,,,,,,unmatched
7,NTIBARWIGA PHARMACY LTD,MUSANZE,NKOTSI,BIKARA,retail-2026-05-9,9,NTIBARWIGA PHARMACY LTD,MUSANZE,NKOTSI BIKARA,1.000,0.293,1.000,true,true,true,true,+250783198661,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Musanze_JULY-AUGUST-SEPTEMBER_2026.pdf,musanze July-September 2026 duty roster,,,unmatched+public_phone
8,TREAH PHARMACY LTD,RWAMAGANA,KIGABIRO,CYANYA,retail-2026-05-10,10,TREAH PHARMACY LTD,RWAMAGANA,KIGABIRO CYANYA,1.000,0.447,1.000,true,true,true,true,,,,,,,unmatched
9,REGOPHARMA LIMITED,KICUKIRO,KANOMBE,KABEZA,retail-2026-05-178,178,REGOPHARMA Limited,KICUKIRO,KANOMBE KABEZA,0.980,0.273,1.000,true,true,true,false,,,,,,,needs_review
11,ADONAI PHARMACY LTD,RWAMAGANA,KARENGE,KARENGE,retail-2026-05-11,11,ADONAI PHARMACY LTD,RWAMAGANA,KARENGE KARENGE,1.000,0.367,1.000,true,true,true,true,+250781082525,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rwamagana_JULY-AUGUST-SEPTEMBER_2026.pdf,rwamagana July-September 2026 duty roster,,,needs_review+public_phone
