issue,december_source_serial,december_name,december_district,december_sector,december_cell,current_registry_entry_key,current_source_serial,current_name,current_district,current_sector_cell_raw,registry_match_score,registry_match_margin,name_score,district_match,sector_match,cell_match,professional_registration_match,phone_number,phone_source,phone_evidence_url,phone_evidence_reference,google_maps_url,maps_url_source,browser_match_status,runner_up_registry_entry_key,runner_up_name,runner_up_score
ambiguous_or_absent_in_current_register,10,MEDIGATE PHARMACY NYAGASAMBU,RWAMAGANA,FUMBWE,NYAGASAMBU,retail-2026-05-624,624,G-PHARMACY Ltd,GASABO,NDERA CYARUZINGE,0.707,0.000,0.930,false,false,false,false,,,,,,,needs_review,retail-2026-05-627,MEDIGATE PHARMACY Ltd,0.707
ambiguous_or_absent_in_current_register,25,PILLARCARE PHARMACY LTD,GASABO,REMERA,RUKIRI II,retail-2026-05-732,732,PILLAR PHARMACY Ltd,MUHANGA,NYAMABUYE GAHOGO,0.707,0.035,0.930,false,false,false,false,,,,,,,matched,retail-2026-05-325,BELLA CARE PHARMACY Ltd,0.672
ambiguous_or_absent_in_current_register,26,DEUPHAR PHARMACY LTD,NYARUGENGE,KIMISAGARA,KAMATABARO,retail-2026-05-148,148,DEPHAR PHARMACY LTD,KICUKIRO,GAHANGA NYANZA,0.702,0.076,0.923,false,false,false,false,,,,,,,matched,retail-2026-05-512,DECLAUPHAR Ltd,0.626
ambiguous_or_absent_in_current_register,31,MURINDI INTWARI FAM PHARMACY LTD,GASABO,NDERA,CYARUZINGE,retail-2026-05-632,632,VINE PHARMACY NYARUTARAMA BRANCH,GASABO,REMERA NYARUTARAMA,0.487,0.010,0.457,true,false,false,false,,,,,,,matched,retail-2026-05-603,PHARMACIE UMURINZI Ltd,0.478
ambiguous_or_absent_in_current_register,47,MUNA PHARMACY Ltd,NGOMA,KIBUNGO,CYASEMAKAM BA,retail-2026-05-215,215,PHARMACIE MUNYANA Ltd,KICUKIRO,GIKONDO KANSEREGE,0.553,0.046,0.727,false,false,false,false,,,,,,,unmatched,retail-2026-05-648,UNIKA PHARMACY Ltd,0.507
ambiguous_or_absent_in_current_register,72,PHARMACY VITAL LTD,BYUMBA,GICUMBI,GACURABWEN GE,retail-2026-05-48,48,VITA -PHARMA LTD,KICUKIRO,KANOMBE KABEZA,0.707,0.000,0.930,false,false,false,false,,,,,,,local_evidence_only,retail-2026-05-633,VITAL WELL PHARMACY REBERO Ltd,0.707
ambiguous_or_absent_in_current_register,75,RITE PHARMACY,KICUKIRO,NIBOYE,NIBOYE,retail-2026-05-559,559,RITE PHARMACY Ltd,KICUKIRO,KANOMBE KABEZA,0.900,0.053,1.000,true,false,false,false,+250788697968,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence,retail-2026-05-367,RITE PHARMACY LTD Kanombe Branch,0.847
ambiguous_or_absent_in_current_register,140,MIRACLE PHARMACY Ltd,NYARUGENGE,NYARUGENGE,KIYOVU,retail-2026-05-556,556,PHARMACIE MUHIRE Ltd,NYARUGENGE,NYARUGENGE KIYOVU,0.688,0.082,0.615,true,true,true,false,,,,,,,local_evidence_only,retail-2026-05-327,MEDIASOL PHARMACY Ltd,0.605
ambiguous_or_absent_in_current_register,143,ISOOKO PHARMACY Ltd,RWAMAGANA,KIGABIRO,CYANYA,retail-2026-05-142,142,ISOOKO PHARMACY Ltd,RUSIZI,MUGANZA GAKONI,0.760,0.345,1.000,false,false,false,false,,,,,,,local_evidence_only,retail-2026-05-594,ISARO PHARMACY Limited,0.415
ambiguous_or_absent_in_current_register,160,G&M PHARMACY Ltd,KICUKIRO,NIBOYI,GATARE,retail-2026-05-368,368,STRONG MEDICA PHARMACY Ltd,KICUKIRO,KAGARAMA KANSEREGE,0.847,0.140,0.930,true,false,false,false,+250780291771,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence,retail-2026-05-624,G-PHARMACY Ltd,0.707
