"registry_entry_key","registry_pharmacy_name","registry_district","roster_pharmacy_name","roster_district","location","e164","source_url","source_reference","match_score","runner_up_score"
"retail-2026-05-1","PRECIOUS PHARMACY LTD","GASABO","PRECIOUS PHARMACY","GASABO","Kigali City,GASABO, KIMIRONKO, BIBARE","250787206998","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","1.000","0.194"
"retail-2026-05-101","ESPERANTO PHARMACY LTD","KAYONZA","ESPERANTO PHARMACY LTD","KAYONZA","EASTERN,KAYONZA, MUKARANGE, BWIZA","250788460201","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kayonza_District_JULY-AUGUST-SEPTEMBER_2026.pdf","kayonza July-September 2026 duty roster","1.000","0.147"
"retail-2026-05-104","IGIHOZO PHARMACY LTD","GASABO","IGIHOZO PHARMACY Ltd","GASABO","Kigali City, GASABO, RUSORORO, KABUGA I","250788897936","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","1.000","0.175"
"retail-2026-05-105","INTWALI PHARMACY LTD","RWAMAGANA","INTWALI PHARMACY Ltd","RWAMAGANA","EASTERN, RWAMAGANA,KARENGE,KARENGE CENTRE","250785223040","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rwamagana_JULY-AUGUST-SEPTEMBER_2026.pdf","rwamagana July-September 2026 duty roster","1.000","0.187"
"retail-2026-05-11","ADONAI PHARMACY LTD","RWAMAGANA","ADONAI PHARMACY Ltd","RWAMAGANA","EASTERN, RWAMAGANA,KARENGE,KARENGE","250781082525","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rwamagana_JULY-AUGUST-SEPTEMBER_2026.pdf","rwamagana July-September 2026 duty roster","1.000","0.191"
"retail-2026-05-110","PHARMACIE L’EXPERIENCE LTD","KICUKIRO","PHARMACIE L'EXPERIENCE","KICUKIRO","Kigali City, KICUKIRO, GAHANGA, KAGASA","250788305333","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","1.000","0.233"
"retail-2026-05-112","SCORE PHARMACY LTD","NYARUGENGE","PHARMACIE SCORE","NYARUGENGE","Kigali City, NYARUGENGE, MUHIMA, PEAGE, MUNSI Y'IBIRO BIKURU BYA RSSB","250783410790","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","1.000","0.191"
"retail-2026-05-113","TUMA PHARMACY LTD","BUGESERA","TUMA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","250785481563","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera July-September 2026 duty roster","1.000","0.191"
"retail-2026-05-113","TUMA PHARMACY LTD","BUGESERA","TUMA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","250788381333","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera July-September 2026 duty roster","1.000","0.191"
"retail-2026-05-116","URUMURI PHARMACY LTD","MUHANGA","URUMURI PHARMACY LTD","MUHANGA","SOUTHERN,MUHANGA,NYAMABUYE,GAHOGO/GITARAMA VILLE","250784950442","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Muhanga_District_JULY-AUGUST-SEPTEMBER_2026.pdf","muhanga July-September 2026 duty roster","1.000","0.127"
"retail-2026-05-12","SAINTE RITA PHARMACY LTD","NYAGATARE","SAINTE RITA PHARMACY LTD","NYAGATARE","EASTERN,NYAGATARE,NYAGATARE, NYAGATARE VILLE","250788587206","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Nyagatare_for_JULY-AUGUST-SEPTEMBER_2026.pdf","nyagatare July-September 2026 duty roster","1.000","0.140"
"retail-2026-05-125","CYIZA PHARMACY Ltd","KICUKIRO","CYIZA PHARMACY","KICUKIRO","Kigali City, KICUKIRO, MASAKA,CYIMO,KABEZA","250788497556","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","1.000","0.210"
"retail-2026-05-128","NEIGE PHARMACY Ltd","GASABO","NEIGE PHARMACY LTD","GASABO","Kigali City, GASABO, JABANA, AKAMATAMU, NYACYONGA","250788517982","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","1.000","0.219"
"retail-2026-05-131","MIKA PHARMACY Ltd","NYAGATARE","MIKA PHARMACY LTD","NYAGATARE","EASTERN,NYAGATARE,NYAGATARE, NYAGATARE VILLE","250780255759","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Nyagatare_for_JULY-AUGUST-SEPTEMBER_2026.pdf","nyagatare July-September 2026 duty roster","1.000","0.175"
"retail-2026-05-133","GAGA PHARMACY Ltd","RWAMAGANA","GAGA PHARMACY LTD","RWAMAGANA","EASTERN,RWAMAGANA,MUYUMBU,AKINYAMBO","250789314019","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rwamagana_JULY-AUGUST-SEPTEMBER_2026.pdf","rwamagana July-September 2026 duty roster","1.000","0.156"
"retail-2026-05-14","KIVU BEACH PHARMACY LTD","RUBAVU","KIVU BEACH PHARMACY","RUBAVU","WESTERN, RUBAVU,GISENYI/CENTRE VILLE","250786271600","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rubavu_for_JULY-AUGUST-SEPTEMBER_2026.pdf","rubavu July-September 2026 duty roster","1.000","0.156"
