"issue","best_registry_name","roster_pharmacy_name","roster_district","location","e164","source_url","source_reference","match_score","runner_up_score"
"ambiguous_or_unmatched","","ELIO PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","250788432912","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera July-September 2026 duty roster","0.311","0.175"
"ambiguous_or_unmatched","","ENI HAKKORE PHARMACY LTD","BUGESERA","EASTERN,BUGESERA,NYAMATA, NYAMATA/TOWN","250781990726","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera July-September 2026 duty roster","0.165","0.140"
"ambiguous_or_unmatched","","ENI HAKKORE PHARMACY LTD","BUGESERA","EASTERN,BUGESERA,NYAMATA, NYAMATA/TOWN","250788846403","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera July-September 2026 duty roster","0.165","0.140"
"ambiguous_or_unmatched","","NACY PHARMACY LTD","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","250788624638","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera July-September 2026 duty roster","0.311","0.127"
"ambiguous_or_unmatched","","SHEKINA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","250788846403","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera July-September 2026 duty roster","0.327","0.187"
"ambiguous_or_unmatched","","TAQUA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","250787333170","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera July-September 2026 duty roster","0.280","0.175"
"ambiguous_or_unmatched","","ISONGA PHARMACY LTD","HUYE","SOUTHERN,HUYE,NGOMA,BUTARE","250789066568","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Huye_District_JULY-AUGUST-SEPTEMBER_2026.pdf","huye July-September 2026 duty roster","0.643","0.150"
"ambiguous_or_unmatched","","MEDSUITE PHARMACY Ltd","HUYE","SOUTHERN,HUYE,TUMBA,RANGO B","250783049189","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Huye_District_JULY-AUGUST-SEPTEMBER_2026.pdf","huye July-September 2026 duty roster","0.187","0.175"
"ambiguous_or_unmatched","","PHARMACIE IRAKOZE Ltd","HUYE","SOUTHERN, HUYE,KU GATEME","250786815490","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Huye_District_JULY-AUGUST-SEPTEMBER_2026.pdf","huye July-September 2026 duty roster","0.140","0.140"
"ambiguous_or_unmatched","","THANK YOU PHARMACY Ltd","HUYE","SOUTHERN, HUYE,TUMBA, RANGO B, IMPUHWE","250787923896","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Huye_District_JULY-AUGUST-SEPTEMBER_2026.pdf","huye July-September 2026 duty roster","0.654","0.091"
