"source_serial","registration_number","brand_name","generic_name","strength","dosage_form","pack_size","shelf_life","manufacturer","manufacturer_country","marketing_authorization_holder","local_technical_representative","registration_date","expiry_date","regulatory_status","source_name","source_url"
"1","RWANDA-FDA24/HM/0809/0118","ATOP 250/100","Atovaquone and Proguanil hydrochloride Tablets 250mg/100mg","—","Tablet","—","36","Hetero Drugs Limited (Unit-I)","India","Hetero Labs Limited","BION PHARMA GROUP (BPG) Ltd","2026-06-19","2031-06-18","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"2","RWANDA-FDA24/HM/0183/0116","BUPICAINE HEAVY","Bupivacaine Hydrochloride USP eq. to Anhydrous Bupivacaine Hydrochloride 5.0 mg and Dextrose Anhydrous USP-NF 80.0 mg","—","STERILE SOLUTION FOR INJECTION","—","24","M/s. Tyche Industries Limited","India","THEMIS MEDICARE LIMITED","WESSEX PHARMACEUTICALS (RWANDA) Ltd","2026-06-19","2031-06-18","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"3","RWANDA-FDA24/HM/0882/0115","","—","—","Gelatin Capsules","—","24","Metrochem API Private Limited","India","BEKRA PHARMA UK LTD","UBIPHARM-RWANDA LTD","2026-06-19","2031-06-18","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"4","RWANDA-FDA25/HM/0428/0117","Diazepam Injection BP 5mg/ml","DIAZEPAM INJECTION","—","Solution for Injection.","—","24","FLOW CHEM PHARMA PVT LTD","India","Ciron Drugs And Pharmaceuticals Private Limited","RENE PHARMACY (R) LTD","2026-06-19","2031-06-18","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"5","RWANDA-FDA24/HM/0863/0119","Dolutegravir, Lamivudine and Tenofovir Disoproxil Fumarate Tablets 50 mg / 300 mg / 300 mg","Dolutegravir (as sodium), Lamivudine and Tenofovir Disoproxil Fumarate","—","Film-coated tablets,","—","36","LUPIN MANUFACTURING SOLUTIONS LIMITED","India","Lupin Limited","AIVEEN (R) LTD","2026-06-19","2031-06-18","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"6","RWANDA-FDA24/HM/0755/0114","AKURIXA 10","DAPAGLIFLOZIN PROPANEDIOL MONOHYDRATE","—","Film Coated Tablets","—","24","Morepen Laboratories Limited","India","UNOSOURCE PHARMA LIMITED","AIVEEN (R) LTD","2026-06-11","2031-06-10","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"7","RWANDA-FDA25/HM/0045/0113","Phylline","Aminophylline BP","—","Solution for Injection.","—","24","Aarti Pharmalabs Limited","India","SWISS PARENTERALS LTD.","PHARMACEUTICAL AND MEDICAL SUPPLIES SOCIETY (PMSS) Ltd","2026-06-11","2031-06-10","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"8","RWANDA-FDA25/HM/0294/0105","BDA AMLOSIVE 5","Amlodipine Besylate USP","—","Un coated Tablets","—","24","CENTURY PHARMACEUTICAL LIMITED","India","BDA Healthcare Pvt Ltd","DEPOT PHARMACY YEGO Limited","2026-05-27","2031-05-26","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"9","RWANDA-FDA24/HM/0073/0108","Betadine Vaginal Pessaries","Povidone Iodine USP","—","VAGINAL TABLET","—","36","ISP Chemicals Inc.","UNITED STATES OF AMERICA","Modi-Mundipharma Private Limited","Surgipharm Rwanda Ltd.","2026-05-27","2031-05-26","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"10","RWANDA-FDA24/HM/0495/0104","DAPAONE 10","DAPAGLIFLOZIN","—","Film Coated Tablets","—","24","","India","MSN Laboratories Private Limited","ABACUS PHARMA (A) Ltd","2026-05-27","2031-05-26","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
