"registry_entry_key","registry_pharmacy_name","registry_district","registry_area","gis_object_id","gis_global_id","gis_shop_name","gis_district","gis_sector","gis_cell","gis_village","gis_street_number","longitude","latitude","accuracy_m","collected_at","edited_at","source_url","review_reason"
"retail-2026-05-444","URWIBUTSO PHARMACY Ltd","KICUKIRO","KICUKIRO KICUKIRO","22","{3007D413-87C4-42D0-90CB-B41B66B0A537}","Urwibutso Pharmacy Ltd","Kicukiro","Kicukiro","Kicukiro","Triangle","KK 649 St","30.0997626","-1.9794243","3.900","2021-10-05T10:00:00.000Z","2023-11-01T07:38:58.398Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-397","TOP PHARMACY Ltd","KICUKIRO","KANOMBE KABEZA","30","{34714F19-B676-482D-9A87-E1DA7FFB5A7C}","Top Pharmacy","Kicukiro","Kanombe","Kabeza","Bwiza","KG 18 Av","30.1199661","-1.9656441","5.000","2021-10-06T10:00:00.000Z","2023-11-01T08:44:57.074Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-683","MEDICENTRE PHARMACY Ltd","KICUKIRO","KICUKIRO KICUKIRO","38","{6EF8812D-40A2-47A1-80B3-F5F970DE9A3C}","Pharmacy Medicentre","Kicukiro","Kicukiro","Kicukiro","Kicukiro","NR 5","30.1046503","-1.9808345","3.900","2021-10-07T10:00:00.000Z","2023-11-01T08:59:41.781Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-284","ADVANCED PHARMACY LTD","GASABO","GISOZI MUSEZERO","46","{6A453038-ED28-4CEF-B35F-4A3C43FB156C}","Advanced Pharmacy","Gasabo","Gisozi","Musezero","Gasharu","KK 33 Av","30.0669280","-1.9151609","2.500","2021-10-09T10:00:00.000Z","2023-11-01T09:20:40.337Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-152","MEVA PHARMACY LTD","GASABO","GISOZI RUHANGO","51","{69A2CA91-7A94-481E-8680-D152AE8AD25D}","Meva Pharmacy","Gasabo","Gisozi","Ruhango","Umurava","KG 14 Av","30.0541331","-1.9217852","4.000","2021-10-09T10:00:00.000Z","2023-11-01T09:21:18.252Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-129","PRIMA PHARMACY Ltd","KICUKIRO","KANOMBE BUSANZA","52","{022DE8B1-D075-4ECC-B406-5AB29847E00D}","Prima Pharmacy","Kicukiro","Kanombe","Busanza","Radari","KK 160 St","30.1455592","-1.9970169","3.216","2021-10-09T10:00:00.000Z","2023-11-01T10:12:13.374Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-492","AMIGO PHARMACY Ltd","KICUKIRO","NYARUGUNGA KAMASHASHI","57","{ABC8F6AC-5FD1-4EC1-96A1-2D95FC9D42F6}","Amigo Pharmacy","Kicukiro","Nyarugunga","Kamashashi","Umucyo","","30.1660908","-1.9755435","3.000","2021-10-09T10:00:00.000Z","2023-11-01T10:12:44.607Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-300","JUAN PHARMACY LTD","KICUKIRO","GATENGA NYANZA","61","{EC12A735-F135-4E2B-A77F-FFB9475856A7}","Juan Pharmacy","Kicukiro","Gatenga","Nyanza","Bwiza","KK 516 St","30.1037746","-1.9829509","2.000","2021-10-09T10:00:00.000Z","2023-11-01T10:12:59.744Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-346","ELITE PHARMACY Ltd","KICUKIRO","KICUKIRO KICUKIRO","63","{442B2DB9-9C24-405E-AF14-6D8F8BE777DA}","Elite Pharmacy Ltd","Kicukiro","Kicukiro","Kicukiro","Kicukiro","NR 5","30.1048706","-1.9784076","3.900","2021-10-10T10:00:00.000Z","2023-11-01T10:13:12.147Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-240","OMNICARE Ltd","GASABO","REMERA RUKIRI I","67","{89B30875-4663-4280-898C-9CD137F85F26}","Pharmacy Omnicare","Gasabo","Remera","Rukiri I","Ubumwe","KG 1 Av","30.1025517","-1.9662496","3.500","2021-10-11T10:00:00.000Z","2023-11-01T09:22:23.936Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
