"registry_entry_key","registry_pharmacy_name","registry_district","registry_area","gis_object_id","gis_global_id","gis_shop_name","gis_district","gis_sector","gis_cell","gis_village","gis_street_number","longitude","latitude","accuracy_m","collected_at","edited_at","source_url","review_reason"
"","PHARMACIE KAVES Ltd","GASABO","KIMIRONKO NYAGATOVU","1","{33AF0E89-AC52-4910-8165-1407EFF1F0D7}","KAVES PHARMACY","Gasabo","Kimironko","","","","30.1273008","-1.9480993","0.000","2021-06-22T10:00:00.000Z","2023-11-01T07:30:17.038Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","","","","2","{15F058F1-73AE-4B69-822C-DFE96B2258C6}","Phramed Pharmacy","Gasabo","Kimironko","","","","30.1270548","-1.9482288","0.000","2021-06-22T10:00:00.000Z","2023-11-01T07:30:20.542Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","RAVI PHARMACY Ltd","GASABO","KIMIRONKO NYAGATOVU","3","{B6182507-F6CB-4CCA-82F6-4D27B78F1106}","RAVI Pharmacy","Gasabo","Kimironko","","","","30.1263090","-1.9486596","0.000","2021-06-22T10:00:00.000Z","2023-11-01T07:30:25.736Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","KIRAMED Ltd","GASABO","KIMIRONKO KIBAGABAGA","4","{CB650F0B-F6DE-458D-8086-82BE33A47F80}","Kiramed Pharmacy","Gasabo","Kimironko","","","","30.1331465","-1.9359545","0.000","2021-06-22T10:00:00.000Z","2023-11-01T07:30:39.034Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","CAREPLUS PHARMACY Ltd","GASABO","BUMBOGO KINYAGA","5","{999DCE27-0850-492F-954E-9D6BDB5B4B1C}","Careplus Pharmacy","Gasabo","Kimironko","","","","30.1381791","-1.9287352","0.000","2021-06-22T10:00:00.000Z","2023-11-01T07:30:40.591Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","sector_mismatch_or_ambiguous"
"","THE SPECIALIST PHARMACY Ltd","GASABO","KIMIRONKO BIBARE","6","{953CE5DE-7134-4A54-9FF0-289D6249A30D}","THE SPECIALIST PHARMACY","Gasabo","Kimironko","","","","30.1308322","-1.9413901","0.000","2021-06-22T10:00:00.000Z","2023-11-01T07:31:11.431Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","","","","7","{55F21768-0602-4F5C-8D5F-F46DAE7B107E}","Paravina Pharmacy","Gasabo","Kimironko","","","","30.1307017","-1.9412291","0.000","2021-06-23T10:00:00.000Z","2023-11-01T07:31:43.803Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","8","{C3B53907-E977-42B4-8270-5592F32B1CC4}","Fina Pharmacy","Gasabo","Kimironko","","","","30.1328083","-1.9355531","0.000","2021-06-23T10:00:00.000Z","2023-11-01T07:31:51.761Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","9","{9F59E332-4517-48FF-B3DC-E3256C713FF9}","Agro-Vet Pharmacy","Gasabo","Kimironko","","","","30.1269795","-1.9484157","0.000","2021-06-23T10:00:00.000Z","2023-11-01T07:32:12.832Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","10","{9F8FA1DC-2E7D-43A4-8744-450965E2D276}","Libeka Pharmacy Ltd","Gasabo","Kimironko","","","","30.1271709","-1.9493088","0.000","2021-06-25T10:00:00.000Z","2023-11-01T07:33:32.172Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","PRECIOUS PHARMACY LTD","GASABO","KIMIRONKO BIBARE","11","{6A8EE5FB-8555-429E-BE97-1BE1BFFD6DC9}","Precious Pharmacy","Gasabo","Kimironko","","","","30.1283211","-1.9465181","0.000","2021-06-25T10:00:00.000Z","2023-11-01T07:33:35.789Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","PHARMACIE TETA Ltd","GASABO","KIMIRONKO BIBARE","12","{57B5D0A8-F68E-4924-B1EB-B0BCAB9166C1}","Teta Pharmacy","Gasabo","Kimironko","","","","30.1248731","-1.9496074","0.000","2021-06-24T10:00:00.000Z","2023-11-01T07:33:42.992Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","","","","13","{63013364-A6E9-4DCC-A478-3E54FD9E85F2}","K&W Medical Pharmacy","Gasabo","Kimironko","","","","30.1171834","-1.9502519","0.000","2021-06-25T10:00:00.000Z","2023-11-01T07:34:11.629Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","SAFINA PHARMACY Limited","KICUKIRO","KICUKIRO GASHARU","14","{98DC7328-C882-454D-B93B-1746B47C4FDE}","Safina Pharmacy","Kicukiro","Kicukiro","","","","30.0995379","-1.9717842","0.000","2021-10-05T10:00:00.000Z","2023-11-01T12:54:15.902Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","FUTURE HOPE PHARMACY Ltd","KICUKIRO","GATENGA ISANGANO","15","{126A3205-0ECC-4CE1-8CEA-9C86DEF3D91C}","Future Hope Pharmacy","Kicukiro","Kicukiro","","","","30.1028277","-1.9689164","0.000","2021-10-05T10:00:00.000Z","2023-11-01T12:54:24.357Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","sector_mismatch_or_ambiguous"
"","","","","16","{726F0A11-4BC8-4BAD-BF57-18826F6E80C6}","Pharmacy","Kicukiro","Gatenga","Gatenga","Gatenga","","30.0972020","-1.9753047","3.000","2021-10-05T10:00:00.000Z","2023-11-01T07:35:46.459Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","17","{6C797624-645E-4B71-8CDF-627797D7AA35}","MALISA Pharmacy","Kicukiro","Gatenga","","","","30.0956728","-1.9782338","0.000","2021-10-05T10:00:00.000Z","2023-11-01T07:36:56.076Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","18","{52482ED8-5876-4A68-A330-145DA85EEE78}","Stn.Marie Queen Pharmacy","Kicukiro","Nyarugunga","","","","30.1475054","-1.9653765","0.000","2021-10-05T10:00:00.000Z","2023-11-01T07:37:34.787Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","19","{CC9507CF-A62B-472C-B5E0-67CD9B0EE66E}","Jide Pharmacy","Kicukiro","Niboye","Niboye","Taba","KK 21 Av","30.1129419","-1.9783771","2.000","2021-10-05T10:00:00.000Z","2023-11-01T07:38:39.938Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
