"source_serial","name","technician","council_registration_number","province","district","sector_cell_raw","license_expiration_date","source_url"
"1","PRECIOUS PHARMACY LTD","JANVIER MANIKUZWE","NPC/A0899","KIGALI CITY","GASABO","KIMIRONKO BIBARE","2030-01-21","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"2","STREAM PHARMACY LTD","BENJAMIN IRADUKUNDA","NPC/A1408","KIGALI CITY","GASABO","KINYINYA KAGUGU","2030-01-21","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"3","AURORE PHARMACY LTD","JEANNE HATEGEKIMANA","NPC/A0295","KIGALI CITY","GASABO","KINYINYA KAGUGU","2030-01-21","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"4","NASSA PHARMACY LTD","ODETTE UWIZEYIMANA","NPC/A1202","KIGALI CITY","GASABO","KINYINYA KAGUGU","2030-01-21","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"5","VAN PHARMACY LTD","NSENGIYUMVA VALENS","NPC/A1062","EASTERN","KAYONZA","MUKARANGE NYAGATOVU","2030-01-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"6","PHARMACIE ELITE LTD","PRINCE NKURUNZIZA","NPC/A1444","WESTERN","RUBAVU","GISENYI NENGO","2030-01-29","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"7","PHARMACIE DE BUTARE LTD","BYUKUSENGE SHCADRACK","NPC/A0800","SOUTHERN","HUYE","NGOMA BUTARE","2030-01-30","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"8","ABATESI PHARMACY LTD","FRANCOIS BIRAMAHIRE","NPC/A0560","EASTERN","GATSIBO","RWIMBOGO RWIKINIRO","2030-01-31","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"9","NTIBARWIGA PHARMACY LTD","NIRERE DELPHINE","NPC/A1253","NORTHERN","MUSANZE","NKOTSI BIKARA","2030-01-31","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"10","TREAH PHARMACY LTD","ERIC UWASE","NPC/A0584","EASTERN","RWAMAGANA","KIGABIRO CYANYA","2030-01-31","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"11","ADONAI PHARMACY LTD","ALPHONSE KOMEZUMUTIMA","NPC/A0947","EASTERN","RWAMAGANA","KARENGE KARENGE","2030-01-31","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"12","SAINTE RITA PHARMACY LTD","KAYIJUKA ALAIN","NPC/A0409","EASTERN","NYAGATARE","NYAGATARE NYAGATARE","2030-01-31","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"13","BONA CURARE PHARMA LIMITED","UWANYIRIGIRA MARIE FLORA","NPC/A0063","WESTERN","RUSIZI","KAMEMBE KAMASHANGI","2030-01-31","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"14","KIVU BEACH PHARMACY LTD","SINDAYIGAYA JOSIANE","NPC/A0739","WESTERN","RUBAVU","GISENYI NENGO","2030-02-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"15","EL -SHADAI PHARMACY LTD","EMMANUEL HITIMANA","NPC/A0460","KIGALI CITY","GASABO","NDUBA GATUNGA","2030-02-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"16","GALENA PHARMACY Limited","ELIE BISENGIMANA","NPC/A1504","KIGALI CITY","KICUKIRO","KANOMBE BUSANZA","2030-02-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"17","RINDA PHARMACY LTD","UMUHOZA GLORIA","NPC/A1333","WESTERN","RUBAVU","RUBAVU BYAHI","2030-02-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"18","ADEVA PHARMACY LTD","LEO PATRICK MAZIMPAKA","NPC/A1502","EASTERN","RWAMAGANA","MWULIRE BUSHENYI","2030-02-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"19","ZENN PHARMACY LTD","KARANGWAYIRE INGRID","NPC/A0761","KIGALI CITY","KICUKIRO","NIBOYE GATARE","2030-02-19","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"20","ZELA PHARMACY LTD","NDAYISHIMIYE JEAN DE DIEU","NPC/A1231","WESTERN","RUBAVU","GISENYI MBUGANGARI","2030-02-19","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"21","CIVITAS PHARMACY LTD","RUTH UWIZEYIMANA","NPC/A0755","KIGALI CITY","NYARUGENGE","KIGALI KIGALI","2030-02-19","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"22","SALUS PHARMACY LTD","GASPARD MURWANASHYAKA","NPC/A0807","WESTERN","RUBAVU","RUBAVU BYAHI","2030-02-20","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"23","SALAMA -ONE PHARMACY Ltd","KABAYIZA HUBERT DESIRE","NPC/A1462","KIGALI CITY","GASABO","REMERA RUKIRI II","2030-02-20","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"24","ELVINO PHARMACY LTD","KAYITESI EUGENE","NPC/A0262","WESTERN","NYAMASHEKE","KANJONGO KIBOGORA","2030-02-20","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"25","TAQWA PHARMACY LTD","MURAKETET CHADIA","NPC/A0599","EASTERN","BUGESERA","NYAMATA NYAMATA","2030-02-20","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"26","SALAMA -PILLAR PHARMACY LTD","ANNE MUKESHIMANA","NPC/A0258","KIGALI CITY","GASABO","REMERA RUKIRI II","2030-02-20","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"27","FADHIL PHARMACY LTD","IBRAHIM MFITUMUKIZA","NPC/A0765","KIGALI CITY","NYARUGENGE","RWEZAMENYO RWEZAMENYO","2030-02-21","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"28","PHARMACURE Ltd","ERNESTE SHYAKA RUDASINGWA","NPC/A1336","KIGALI CITY","NYARUGENGE","NYAMIRAMBO MUMENA","2030-02-21","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"29","STREAM PHARMACY BRANCH","ILDEPHONSE SINIGENGA","NPC/A0686","KIGALI CITY","GASABO","KINYINYA KAGUGU","2030-02-21","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"30","PHARMACIE LA PRIERE LTD","HAKIZIMANA OLIVIER","NPC/A1343","EASTERN","BUGESERA","RILIMA NYABIGENDWA","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"31","ARLOMED PHARMACY LTD","BYIRINGIRO MOISE","NPC/A1104","NORTHERN","RULINDO","SHYORONGI BUGARAGARA","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"32","ACE PHARMACY LTD","SAMUEL HABINEZA","NPC/A1233","WESTERN","RUBAVU","GISENYI NENGO","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"33","OM PHARMACY LTD","THEOGENE NDAGIJIMANA","NPC/A1097","EASTERN","BUGESERA","RUHUHA RUHUHA","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"34","BIGIRA PHARMACY LTD","NAHIMANA THEOPHILE","NPC/A1210","EASTERN","GATSIBO","NGARAMA NGARAMA","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"35","AMIZER O PHARMACY LTD","HABIYAREMYE DIDIER","NPC/A1340","KIGALI CITY","KICUKIRO","NIBOYI GATARE","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"36","GOLF PHARMACY","GEDEON MUSONI","NPC/A1352","KIGALI CITY","KICUKIRO","NYARUGUNGA KAMASHASHI","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"37","PHARMACY KIRA LTD","EDITH NYIRANSABIMANA","NPC/A0715","KIGALI CITY","KICUKIRO","NYARUGUNGA KAMASHASHI","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"38","PHARMACY FOR FAMILY GROUP (P.F.G)","ILLDEBRAND RUMANZI","NPC/A1449","KIGALI CITY","GASABO","RUSORORO NYAGAHINGA","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"39","ZEAL PHARMACY LTD","PASCALINE DIVINE KAGISHA","NPC/A1035","KIGALI CITY","KICUKIRO","KANOMBE RUBIRIZI","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"40","LEGEND PHARMACY LTD","HONORE TIAMO HIRWA","NPC/A1446","KIGALI CITY","GASABO","RUSORORO NYAGAHINGA","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"41","LIFESTYLE PHARMACY LTD","BELYSE INGABIRE","NPC/A0920","KIGALI CITY","GASABO","REMERA NYARUTARAMA","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"42","CALABRIA PHARMACY LTD","MUKAWERA ALINE","NPC/A1363","SOUTHERN","HUYE","NGOMA BUATARE","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"43","PHARMACY ISHEMA RY’INGABO NZIZA LTD","MANIRAKIZA AUGUSTIN","NPC/A1284","KIGALI CITY","GASABO","RUSORORO KABUGA","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"44","FELIPHARM PHARMACY LTD","IMANASHIMWE EMMANUEL","NPC/A1348","NORTHERN","MUSANZE","MUHOZA MPENGE","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"45","ERVASIA PHARMACY LTD","NTAWUGASHIRA ZEPHYRIN","NPC/A0963","SOUTHERN","MUHANGA","SHYOGWE RULI","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"46","SHEKINA PHARMACY LTD","NIYONKURU DENIS","NPC/A1388","KIGALI CITY","NYARUGENGE","NYAMIRAMBO RUGARAMA","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"47","LILAC PHARMACY LTD","EDISON NIYONGIRA","NPC/A1423","WESTERN","KAYONZA","BWISHYURA KINIHIRA","2030-02-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"48","VITA -PHARMA LTD","FELIX NIYIGENA","NPC/A1209","KIGALI CITY","KICUKIRO","KANOMBE KABEZA","2030-02-28","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"49","KERIDO PHARMACY LTD","NTWALI DAUPHIN","NPC/A1022","KIGALI CITY","KICUKIRO","NYARUGUNGA NONKO","2030-03-03","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"50","EL DORADO PHARMACY Ltd","BAKUNDUFITE PATRICE","NPC/A0119","KIGALI CITY","KICUKIRO","NYARUGUNGA NKOKO","2030-03-03","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"51","GALLANT PHARMACY Ltd","ESTHER NIYOMURAGIJE","NPC/A1155","KIGALI CITY","KICUKIRO","KICUKIRO KICUKIRO","2030-03-03","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"52","SALAMA -AZUR PHARMACY Ltd","TUYISHIME DELPHINE MARIE","NPC/A0132","KIGALI CITY","NYARUGENGE","NYAMIRAMBO RUGARAMA","2030-03-05","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"53","INTER PHARMACY LIMITED","SOPHIA DUSABE","NPC/A1435","SOUTHERN","GISAGARA","NDORA GISAGARA","2030-03-05","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"54","PHARMACIE VITAMIA LTD","EVELYNE KEZA","NPC/A1421","EASTERN","BUGESERA","NTARAMA KANZENZE","2030-03-05","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"55","PHARMACIE CONSEIL - NYARUTARAMA","DAUPHINE MBONINDAVYI","NPC/A1326","KIGALI CITY","GASABO","REMERA NYARUTARAMA","2030-03-05","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"56","VITA GRATIA PHARMACY LTD","FORTUNATE SEZIBERA","NPC/A1080","KIGALI CITY","KICUKIRO","NIBOYE GASHARU","2030-03-05","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"57","NOVAX PHARMA Ltd","NAMAHUNGU THEOPHILE","NPC/A0495","SOUTHERN","NYANZA","BUSASAMANA NYANZA","2030-03-05","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"58","VOVO PHARMACY Ltd","HENRY FABRICE NTAMAKEMWA","NPC/A0449","KIGALI CITY","GASABO","KIMIRONKO KIBAGABAGA","2030-03-05","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"59","HILDA PHARMACY LTD","DIEUDONNE NDATIMANA","NPC/A1216","EASTERN","GATSIBO","NGARAMA NGARAMA","2030-03-07","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"60","JAHRAS PHARMACY LTD","ISHIMWE JULES","NPC/A0883","KIGALI CITY","KICUKIRO","NYARUGUNGA NONKO","2030-03-07","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"61","KABARE PHARMACY LTD","MUNEZERO MUNIRA","NPC/A1335","KIGALI CITY","GASABO","RUSORORO KABUGA I","2030-03-07","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"62","LIFEPLUS PHARMACY LTD","MARTIN DUSENGIMANA","NPC/A0838","EASTERN","KAYONZA","MUKARANGE BWIZA","2030-03-07","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"63","PHARMACIE LA SIRENE LTD","EVARISTE SABUSHIMITSE","NPC/A1169","KIGALI CITY","KICUKIRO","KICUKIRO KICUKIRO","2030-03-07","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"64","ROOTMED PHARMACY LTD","FLORENCE MURORWA KAYIGANWA","NPC/A1370","KIGALI CITY","KICUKIRO","MASAKA CYIMO","2030-03-07","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"65","BESTDAY PHARMACY LTD","MUKESHARUREMA RACHEL","NPC/A0868","SOUTHERN","KAMONYI","GACURABWEN GE KIGEMBE","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"66","BLESSING PHARMACY LTD","TWAGIRIMANA VEDASTE","NPC/A1347","SOUTHERN","MUHANGA","NYAMABUYE GAHOGO","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"67","DELPHAL PHARMACY LTD","NIWENSHUTI FABIOLA","NPC/A0833","KIGALI CITY","KICUKIRO","GAHANGA KAREMBURE","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"68","FAST GENERAL SERVICES LTD","UWINGABIRE JEANNINE","NPC/A0779","EASTERN","BUGESERA","NTARAMA KANZENZE","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"69","INTWARI MU BUZIMA PHARMACY LTD","NDAYISHIMIYE BIENVENU","NPC/A0936","WESTERN","RUBAVU","GISENYI MBUGANGARI","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"70","MEDICO PHARMACY LTD","MUSENGIMANA ILLDEPHONSE","NPC/A0587","NORTHERN","MUSANZE","BUSOGO SAHARA","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"71","PHARMACY AMIRAH LTD","SAMUEL HABINEZA","NPC/A1233","NORTHERN","MUSANZE","MUHOZA KIGOMBE","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"72","LOTUS PHARMA B1 LTD","FIDA DUKUNDANE","NPC/A1299","NORTHERN","BYUMBA","GICUMBI GACURABWENGE","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"73","PRESTIGE PHARMACY LTD","MBONIMANA GASPARD","NPC/A0487","WESTERN","RUBAVU","GISENYI KIVUMU","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"74","PROGRESS PHARMACY LTD","SUMBYA LEON JEAN JACQUES","NPC/A0490","KIGALI CITY","KICUKIRO","KIGARAMA BWERANKONI","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"75","RITE PHARMACY -Ltd NYARUTARAMA","UWITONZE CONSOLATION","NPC/A1390","KIGALI CITY","GASABO","REMERA NYARUTARAMA","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"76","RWEGO PHARMACY LTD","ABIJURU DIDIER","NPC/A1290","SOUTHERN","KAMONYI","GACURABWEN GE NKINGO","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"77","SIFA PHARMACY LTD","SEBAGENZI JUSTIN","NPC/A0569","NORTHERN","MUSANZE","KINIGI KAMPANGA","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"78","WEMA RETAIL PHARMACY LTD","SAMUEL NDAYISHIMYE","NPC/A0966","SOUTHERN","HUYE","NGOMA MATYAZO","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"79","WOMEN&CHILD CARE PHARMACY LIMITED","JEAN PIERRE HAKIZIMFURA","NPC/A1323","KIGALI CITY","GASABO","REMERA RUKIRI II","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"80","BETTER SOON PHARMACY Ltd","RITAH MUKASHYAKA","NPC/A1393","KIGALI CITY","NYARUGENGE","MAGERAGERE MATABA","2030-03-10","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"81","ALLIMED PHARMACY LTD","NIYONZIMA UWASE JOSELYNE","NPC/A1152","KIGALI CITY","GASABO","KIMIRONKO BIBARE","2030-03-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"82","BARAKA PHARMACY LTD","BARAKAGWIRA JEANNE","NPC/A1044","KIGALI CITY","GASABO","NDUBA GASANZE","2030-03-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"83","BIPA PHARMACY LTD","JEANPIERRE NIYITANGA","NPC/A0976","KIGALI CITY","KICUKIRO","KAGARAMA RUKATSA","2030-03-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"84","OMEGA PHARMACY LTD","PHILBERT NDAYISHIMIYE","NPC/A1406","KIGALI CITY","NYARUGENGE","MUHIMA NYABUGOGO","2030-03-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"85","PHARMACIE TETA LTD","KANTARAMA MARIE JOYEUSE","NPC/A1232","KIGALI CITY","GASABO","REMERA RUKIRI I","2030-03-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"86","SHEKINAH PHARMACY LTD","SEKAMONYO GILBERT","NPC/A0380","EASTERN","BUGESERA","NYAMATA NYAMATA","2030-03-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"87","ST ODA PHARMACY -BASE","JEAN MARIE VIANNEY NTIRENGANYA","NPC/A1450","NORTHERN","RULINDO","BASE RWAMAHWA","2030-03-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"88","YES PHARMACY LTD","DAVID BYUSA","NPC/A0477","KIGALI CITY","GASABO","NDUBA GASANZE","2030-03-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"89","ZOE PHARMACY LTD","NYIRASHIMWE SHALOM","NPC/A0976","KIGALI CITY","GASABO","KIMIHURURA KIMIHURURA","2030-03-12","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"90","HORIZON PHARMACY LTD","JANVIER KAZENEZA","NPC/A0401","KIGALI CITY","NYARUGENGE","NYAMIRAMBO RUGARAMA","2030-03-26","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"91","PHARMACIE CONSEIL - KACYIRU","GHISLAIN ISHIMWE MUGABE","NPC/A1382","KIGALI CITY","GASABO","KIMIHURURA KAMUKINA","2030-03-26","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"92","TERCERA PHARMACY LTD","SYLVESTRE KABERA","NPC/A1134","KIGALI CITY","GASABO","KIMIHURURA KAMUKINA","2030-03-26","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"93","AGAPE PHARMACY LTD","NDAHUNGA ANGE ROBERT","NPC/A0757","SOUTHERN","GISAGARA","SAVE GATOKI","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"94","AKEDAH LTD","ETIENNE YANDEREYE","NPC/A1353","EASTERN","BUGESERA","NYAMATA NYAMATA","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"95","ASHLINE PHARMACY LTD","PASCALINE ASHIMWE","NPC/A0764","KIGALI CITY","GASABO","RUSORORO RUHUNGA","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"96","AFRI HEALTH PLUS Ltd","UWASE ANNET","NPC/A1088","KIGALI CITY","KUCIKIRO","GIKONDO KANSEREGE","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"97","BAHONEZA PHARMACY LTD","YANKURIJE CLEMENTINE","NPC/A0927","SOUTHERN","HUYE","NGOMA BUTARE","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"98","BETHZATHA PHARMACY LTD","NSENGIYUMVA ROBERT","NPC/A1305","KIGALI CITY","KICUKIRO","NIBOYE NIBOYE","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"99","DAMU PHARMACY LTD","NGOMIRAKIZA MUTIMA LILIANE","NPC/A1014","EASTERN","KIREHE","KIGINA RUHANGA","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"100","ELLIS PHARMACY LTD","MARIE MEDIATRICE UMUKUNDWA","NPC/A1064","KIGALI CITY","GASABO","GISOZI MUSEZERO","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"101","ESPERANTO PHARMACY LTD","MOSES MURIISA","NPC/A1149","EASTERN","KAYONZA","MUKARANGE BWIZA","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"102","FIDES PHARMACY LTD","GISELE ISHIMWE","NPC/A0463","SOUTHERN","MUHANGA","NYAMABUYE GAHOGO","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"103","GIRUBUZIMA PHARMACY LTD","ARIANE UMWIGEME","NPC/A0806","NORTHERN","GICUMBI","MUTETE GASEKE","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"104","IGIHOZO PHARMACY LTD","LANDRADA MUKABAHIZI","NPC/A0613","KIGALI CITY","GASABO","RUSORORO KABUGA I","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"105","INTWALI PHARMACY LTD","NDIKUMBWIMANA EMMANUEL","NPC/A0435","EASTERN","RWAMAGANA","KARENGE KARENGE","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"106","ISEZERANO PHARMACY LTD","NZEYIMANA ELYSE","NPC/A1096","WESTERN","NYAMASHEKE","BUSHENGE MPARA","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"107","LE NORMAL LTD","MUTUYIMANA BERTILE","NPC/A0825","KIGALI CITY","KICUKIRO","KIGARAMA KIGARAMA","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"108","NISHIMWE PHARMACY LTD","NSANZABERA JANVIER","NPC/A0118","KIGALI CITY","KICUKIRO","MASAKA GAKO","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"109","NSHUTI2PHARMACY LTD","PEACE UWIHOREYE","NPC/A1307","EASTERN","KIREHE","NYAMUGARI KAGASA","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"110","PHARMACIE L’EXPERIENCE LTD","ALEXIS KABAGIRE NDEKWE","NPC/A0310","KIGALI CITY","KICUKIRO","GAHANGA KAGASA","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"111","PHARMACY CONCORDE LINK LTD","MADELEINE KANAKUZE","NPC/A0836","KIGALI CITY","KICUKIRO","KIGARAMA KARUGIRA","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"112","SCORE PHARMACY LTD","LISA UWAMWEZI MUNYAKAZI","NPC/A0284","KIGALI CITY","NYARUGENGE","MUHIMA UBUMWE","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"113","TUMA PHARMACY LTD","ESTHER UWIMANA","NPC/A0956","EASTERN","BUGESERA","NYAMATA NYAMATA","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"114","UNIPHARMA B5","MAURICE MAYIRA","NPC/A1002","KIGALI CITY","KICUKIRO","NIBOYE NYAKABANDA","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
"115","UNIPHARMA LTD","NIYOTWAMBAZA DIANE","NPC/A1364","KIGALI CITY","NYARUGENGE","NYARUGENGE KIYOVU","2030-03-27","https://rwandafda.gov.rw/medicines-inspection-licensed-premises/"
